key,value,category
"supplierRaiseDisputePromptOtherPaymentProofNotAttached","Other payment proof not attached but relevant:",""
"supplierRaiseDisputePromptOtherProofOrChatContextNotAttached","Other proof or chat context not attached:",""
"supplierRaiseDisputePromptOtherRelatedDocumentNotAttached","Other related document not attached but relevant:",""
"supplierRaiseDisputePromptOtherSupportingProofNotAttached","Other supporting proof not attached but relevant:",""
"supplierRaiseDisputePromptOtherTimingProofNotAttached","Other timing proof not attached but relevant:",""
"supplierRaiseDisputePromptPaymentDueDateOrMilestone","Payment due date or milestone:",""
"supplierRaiseDisputePromptQuantityActuallyChallenged","Quantity actually challenged:",""
"supplierRaiseDisputePromptQuantityExpectedFromDispatchProof","Quantity expected from dispatch proof:",""
"supplierRaiseDisputePromptQuantityOrConditionDifferenceNoticed","Quantity or condition difference noticed:",""
"supplierRaiseDisputePromptQuantityReceivedAtUnloading","Quantity received at unloading:",""
"supplierRaiseDisputePromptStrongestMissingProofNotAttached","Strongest missing proof not attached:",""
"supplierRaiseDisputePromptWhatHappenedDuringIncident","What happened during the incident:",""
"supplierRaiseDisputePromptWhatMisleadingClaimWasMade","What misleading claim was made:",""
"supplierRaiseDisputePromptWhatOutcomeOrCorrectionNeeded","What outcome or correction is needed:",""
"supplierRaiseDisputePromptWhatPaymentStatusShouldBe","What payment status should be instead:",""
"supplierRaiseDisputePromptWhatScamOrSpamBehaviorOccurred","What scam or spam behavior occurred:",""
"supplierRaiseDisputePromptWhenOrWhereBehaviorOccurred","When or where the behavior occurred:",""
"supplierRaiseDisputePromptWhyPayoutProofLooksFake","Why the payout proof looks fake or inconsistent:",""
"supplierRaiseDisputeReasonError","Explain the POD problem in at least 10 characters",""
"supplierRaiseDisputeReasonLabel","Dispute reason",""
"supplierRaiseDisputeRemoveEvidenceAction","Remove evidence",""
"supplierRaiseDisputeSubmissionBlockedTitle","Dispute submission blocked",""
"supplierRaiseDisputeSubmissionUnavailableTitle","Dispute submission unavailable",""
"supplierRaiseDisputeSubmitAction","Submit dispute",""
"supplierRaiseDisputeSubmittedSuccess","Dispute submitted. Support ticket created for review.",""
"supplierRaiseDisputeSummaryTitle","Dispute summary",""
"supplierRaiseDisputeTitle","Raise Dispute",""
"supplierRaiseDisputeTripRouteLabel","Trip route: {routeLabel}",""
"supplierRaiseDisputeTripUnavailableTitle","Trip detail unavailable",""
"supplierRaiseDisputeTruckLabel","Truck: {truckNumber}",""
"supplierRaiseDisputeTruckerLabel","Trucker: {truckerName}",""
"supplierRaiseDisputeUseCameraAction","Use camera",""
"supplierTripDetailActionUnavailableTitle","Supplier trip action unavailable",""
"supplierTripDetailActionsTitle","Actions",""
"supplierTripDetailAssignedLabel","Assigned: {dateTime}",""
"supplierTripDetailBodyTypeLabel","Body type: {bodyType}",""
"supplierTripDetailCommentLabel","Comment (optional)",""
"supplierTripDetailCompletedLabel","Completed: {dateTime}",""
"supplierTripDetailConfirmDeliveryAction","Confirm Delivery",""
"supplierTripDetailConfirmDeliverySuccess","Delivery confirmed. The trip is now completed.",""
"supplierTripDetailDeliveredLabel","Delivered: {dateTime}",""
"supplierTripDetailDestinationLabel","Destination: {destination}",""
"supplierTripDetailDisputeBannerClosedTitle","Dispute review closed",""
"supplierTripDetailDisputeBannerInProgressTitle","Dispute review in progress",""
"supplierTripDetailDisputeBannerWaitingTitle","Dispute review waiting for your reply",""
"supplierTripDetailDisputeCategoryLabel","{category}",""
"supplierTripDetailDisputeCategorySummary","Category: {category}",""
"supplierTripDetailDisputeCurrentStateLabel","Current state: {status}",""
"supplierTripDetailDisputeLastUpdatedLabel","Last updated: {date}",""
"supplierTripDetailDisputePodAction","Dispute POD",""
"supplierTripDetailDisputeStateRaised","Current state: Dispute raised",""
"supplierTripDetailDisputeStatusLabel","{status}",""
"supplierTripDetailDisputeStatusTitle","Dispute status",""
"supplierTripDetailDistanceLabel","Distance: {distance} km",""
"supplierTripDetailDriveTimeLabel","Drive time: {minutes} min",""
"supplierTripDetailLoadFailureTitle","Unable to load supplier trip detail",""
"supplierTripDetailMaterialTruckerSummary","{material} - Trucker {truckerName}",""
"supplierTripDetailNextStepCompletedTitle","Trip completed",""
"supplierTripDetailNextStepDefaultTitle","Track execution",""
"supplierTripDetailNextStepDisputedTitle","Dispute in progress",""
"supplierTripDetailNextStepReviewTitle","Review and confirm delivery",""
"supplierTripDetailNextStepTitle","Next step",""
"supplierTripDetailOpenLrDocumentAction","Open LR Document",""
"supplierTripDetailOpenPodPhotoAction","Open POD Photo",""
"supplierTripDetailOriginLabel","Origin: {origin}",""
"supplierTripDetailPending","Pending",""
"supplierTripDetailPickupDateLabel","Pickup date: {date}",""
"supplierTripDetailPodPhotoTitle","POD photo",""
"supplierTripDetailPodUploadedLabel","POD uploaded: {dateTime}",""
"supplierTripDetailPreviewUnavailable","Unable to open preview",""
"supplierTripDetailProofDocumentsTitle","Proof documents",""
"supplierTripDetailRatingAlreadySubmitted","You already rated this trip.",""
"supplierTripDetailRatingSectionTitle","Rate this trip",""
"supplierTripDetailRatingStarTooltip","{count} star{s}",""
"supplierTripDetailRatingSubmittedOn","Submitted on {date}",""
"supplierTripDetailRatingSubmittedSuccess","Rating submitted successfully.",""
"supplierTripDetailRatingUnavailableTitle","Rating unavailable",""
"supplierTripDetailReportSourceLabel","Supplier trip - {routeLabel}",""
"supplierTripDetailRouteScheduleTitle","Route and schedule",""
"supplierTripDetailSubmitRatingAction","Submit Rating",""
"supplierTripDetailTitle","Trip Detail",""
"supplierTripDetailTruckNumberLabel","Truck number: {truckNumber}",""
"supplierTripDetailTruckerLabel","Trucker: {name}",""
"supplierTripDetailTruckerTruckTitle","Trucker and truck",""
"supplierTripDetailTyresLabel","Tyres: {tyres}",""
"supportActiveTicketCount","{count} ticket{s}",""
"supportCreateTicketRelatedLoadIdHint","load-123",""
"supportCreateTicketRelatedTripIdHint","trip-123",""
"supportCurrentWorkflowTitle","Current workflow",""
"supportDisputeBannerTitleClosed","Dispute review closed",""
"supportDisputeBannerTitleInProgress","Dispute review in progress",""
"supportDisputeCategoryLabel","Dispute category: {category}",""
"supportEscalationPathLabel","Escalation path",""
"supportEscalationPathSupplier","Supplier support",""
"supportEscalationPathTrucker","Trucker support",""
"supportEvidenceVisibilityTitle","Evidence visibility",""
"supportFallbackLabel","Support",""
"supportLastUpdatedValue","Last updated: {value}",""
"supportLastVisibleUpdate","Last visible update: {value}",""
"supportLatestVisibleSender","Latest visible sender: {value}",""
"supportOpenedAt","Opened at: {value}",""
"supportPriorityValue","Priority: {priority}",""
"supportReplyGuidanceTitle","Reply guidance",""
"supportReplyStatusReply","Reply",""
"supportReplyStatusSubmitted","Submitted",""
"supportResolutionOutcomeTitle","Resolution outcome",""
"supportResolutionValue","Resolution: {value}",""
"supportResolvedOn","Resolved on: {value}",""
"supportSupportTeamLabel","Support team",""
"supportTicketTitleWithPriority","{title} - {priority} priority",""
"supportTrustBadge","Trust: {status}",""
"supportUpdatedAt","Updated at: {value}",""
"supportVisibleRepliesCount","Visible replies: {count}",""
"supportVisibleThreadSummaryTitle","Visible thread summary",""
"supportYouLabel","You",""
"truckerDashboardActionNeededStatus","action needed",""
"truckerDashboardApprovedTrucksSummary","{approvedTrucks}/{totalTrucks} approved trucks",""
"truckerDashboardBookingActivityTitle","Booking activity",""
"truckerDashboardDlLabel","DL: {value}",""
"truckerDashboardFixVerificationAction","Fix verification",""
"truckerDashboardFleetReadinessTitle","Fleet readiness",""
"truckerDashboardFleetReviewActivitySubtitle","{pendingTrucks} pending - {rejectedTrucks} rejected - {pendingReapprovalTrucks} pending reapproval",""
"truckerDashboardFleetReviewActivityTitle","Fleet review activity",""
"truckerDashboardOpenFleetAction","Open fleet",""
"truckerDashboardOpenFleetVerificationAction","Open fleet and verification",""
"truckerDashboardReadyStatus","ready",""
"truckerDashboardSetupInProgress","Setup in progress",""
"truckerDashboardStatActiveBidsLabel","Active bids",""
"truckerDashboardStatCompletedLabel","Completed",""
"truckerDashboardStatInTransitLabel","In-transit",""
"truckerDashboardStatUpcomingTripsLabel","Upcoming trips",""
"truckerDashboardStatusAttention","attention",""
"truckerDashboardStatusClear","clear",""
"truckerDashboardStatusMoving","moving",""
"truckerDashboardStatusOpen","open",""
"truckerDashboardStatusTracked","tracked",""
"truckerDashboardTripActivitySubtitle","{upcomingTrips} upcoming - {inTransitTrips} in transit - {completedTrips} completed",""
"truckerDashboardTripActivityTitle","Trip activity",""
"truckerDashboardTruckAwaitingReview","{count} awaiting review",""
"truckerDashboardTruckPendingReapproval","{count} pending reapproval",""
"truckerDashboardTruckRejected","{count} rejected",""
"truckerDashboardVerificationNeedsAttentionTitle","Verification needs attention",""
"truckerDashboardVerificationStatusTitle","Verification status",""
"truckerFindLoadsAdvancedFiltersAction","Advanced filters",""
"truckerFindLoadsAdvancedFiltersTitle","Advanced filters",""
"truckerFindLoadsAnyBodyFallback","Any body",""
"truckerFindLoadsApplyFiltersAction","Apply filters",""
"truckerFindLoadsBodyTypeContainer","Container",""
"truckerFindLoadsBodyTypeOpen","Open",""
"truckerFindLoadsBodyTypeTanker","Tanker",""
"truckerFindLoadsBodyTypeTrailer","Trailer",""
"truckerFindLoadsBodyTypeUnknown","Unknown",""
"truckerFindLoadsMaxPriceLabel","Max price (₹)",""
"truckerFindLoadsMinPriceLabel","Min price (₹)",""
"truckerFindLoadsResetAdvancedFiltersAction","Reset advanced filters",""
"truckerFindLoadsStatusActive","Active",""
"truckerFindLoadsStatusAssignedPartial","Assigned Partial",""
"truckerFindLoadsStatusUnknown","Unknown",""
"truckerFindLoadsSummaryAllLoads","Showing all loads - {resultCount} result(s)",""
"truckerFindLoadsSummaryFiltered","{pieces} - {resultCount} result(s)",""
"truckerFindLoadsSummaryFrom","From {city}",""
"truckerFindLoadsSummaryPriceRange","₹{minPrice}-{maxPrice}",""
"truckerFindLoadsSummarySuperLoads","Super Loads",""
"truckerFindLoadsSummaryTo","To {city}",""
"truckerFindLoadsSummaryTyres","{value} tyre",""
"truckerFindLoadsTruckBodyTypeLabel","Truck body type",""
"truckerFindLoadsTyreRequirementTitle","Tyre requirement",""
"truckerFindLoadsViewDetailsAction","View details",""
"truckerFleetActionAttentionTitle","Truck action needs attention",""
"truckerFleetAddOrUpdateTruckTitle","Add or update truck",""
"truckerFleetAddTruckAction","Add truck",""
"truckerFleetApprovedCount","{count} approved",""
"truckerFleetBodyTypeLabel","Body type",""
"truckerFleetBodyTypeOption","{value}",""
"truckerFleetCapacityHint","25",""
"truckerFleetCapacityLabel","Capacity (tonnes)",""
"truckerFleetChooseGalleryAction","Choose from gallery",""
"truckerFleetEditTruckTitle","Edit truck",""
"truckerFleetEditingTruckAction","Editing truck",""
"truckerFleetFixResubmitAction","Fix and resubmit truck",""
"truckerFleetModelLabel","Model: {value}",""
"truckerFleetMyTrucksTitle","My trucks",""
"truckerFleetNextStepLabel","Next step: {value}",""
"truckerFleetRcDocumentTitle","RC document",""
"truckerFleetReplaceRcAction","Replace RC document",""
"truckerFleetRequiredStatus","required",""
"truckerFleetReviewSummaryLabel","Review summary: {value}",""
"truckerFleetSaveTruckAction","Save truck",""
"truckerFleetSaveTruckUpdatesAction","Save truck updates",""
"truckerFleetSelectRcSourceTitle","Upload RC document",""
"truckerFleetStoredPath","Stored path: {path}",""
"truckerFleetTakePhotoAction","Take photo",""
"truckerFleetTruckCardSubtitle","{bodyType} - {tyres} tyres - {capacityTonnes}T",""
"truckerFleetTruckCount","{count, plural, one {{count} truck} other {{count} trucks}}",""
"truckerFleetTruckNumberHint","MH12AB1234",""
"truckerFleetTruckNumberLabel","Truck number",""
"truckerFleetTyresLabel","Tyres",""
"truckerFleetTyresOption","{tyres} tyres",""
"truckerFleetUploadRcAction","Upload RC document",""
"truckerFleetUploadedStatus","uploaded",""
"truckerLoadDetailPriceBadge","₹{priceAmount} - {priceType}",""
"truckerTripDetailActionUnavailableTitle","Trip action unavailable",""
"truckerTripDetailActionsTitle","Actions",""
"truckerTripDetailAssignedLabel","Assigned: {dateTime}",""
"truckerTripDetailAssignedOnLabel","Assigned on: {dateTime}",""
"truckerTripDetailAutoCompleteDueNow","Auto-complete is due now.",""
"truckerTripDetailAutoCompleteDuration","{hours}h {minutes}m",""
"truckerTripDetailAutoCompleteIn","Auto-complete in: {duration}",""
"truckerTripDetailBodyTypeLabel","Body type: {bodyType}",""
"truckerTripDetailCallSupplierAction","Call Supplier",""
"truckerTripDetailCancellationCurrentState","Current state: cancelled",""
"truckerTripDetailCancellationSummaryTitle","Cancellation summary",""
"truckerTripDetailCancelledTitle","Trip cancelled",""
"truckerTripDetailCargoLoadedAction","Cargo Loaded",""
"truckerTripDetailChooseFromGalleryAction","Choose from gallery",""
"truckerTripDetailCommentLabel","Comment (optional)",""
"truckerTripDetailCompanyLabel","Company: {companyName}",""
"truckerTripDetailCompletedLabel","Completed: {dateTime}",""
"truckerTripDetailCompletedOnLabel","Completed on: {dateTime}",""
"truckerTripDetailDeliveredLabel","Delivered: {dateTime}",""
"truckerTripDetailDestinationLabel","Destination: {destination}",""
"truckerTripDetailDisputeBannerClosedTitle","Dispute review closed",""
"truckerTripDetailDisputeBannerInProgressTitle","Dispute in progress",""
"truckerTripDetailDisputeBannerWaitingTitle","Dispute waiting for your reply",""
"truckerTripDetailDisputeCategoryLabel","{category}",""
"truckerTripDetailDisputeCurrentStateLabel","Current state: {status}",""
"truckerTripDetailDisputeLastUpdatedLabel","Last updated: {date}",""
"truckerTripDetailDisputeStateRaised","Current state: Dispute raised",""
"truckerTripDetailDisputeStatusTitle","Dispute status",""
"truckerTripDetailDistanceLabel","Distance: {distance} km",""
"truckerTripDetailDriveTimeLabel","Drive time: {minutes} min",""
"truckerTripDetailHeadToPickupAction","Head to pickup",""
"truckerTripDetailLoadFailureTitle","Unable to load trip detail",""
"truckerTripDetailLrUploadedSuccess","LR uploaded successfully.",""
"truckerTripDetailMarkDeliveredAction","Mark Delivered",""
"truckerTripDetailMaterialLabel","Material: {material}",""
"truckerTripDetailMaterialPickupSummary","{material} - Pickup {pickupDate}",""
"truckerTripDetailMobileLabel","Mobile: {mobile}",""
"truckerTripDetailNextStepAssignedTitle","Head to pickup",""
"truckerTripDetailNextStepCancelledTitle","Trip cancelled",""
"truckerTripDetailNextStepCompletedTitle","Trip completed",""
"truckerTripDetailNextStepDefaultTitle","Check execution status",""
"truckerTripDetailNextStepDeliveredTitle","Upload POD",""
"truckerTripDetailNextStepDisputedTitle","Dispute in progress",""
"truckerTripDetailNextStepInTransitTitle","Reach destination",""
"truckerTripDetailNextStepPickedUpTitle","Start the trip",""
"truckerTripDetailNextStepPickupPendingTitle","Confirm loading",""
"truckerTripDetailNextStepProofSubmittedTitle","Await supplier confirmation",""
"truckerTripDetailNextStepTitle","Next step",""
"truckerTripDetailOpenInGoogleMapsAction","Open in Google Maps",""
"truckerTripDetailOriginLabel","Origin: {origin}",""
"truckerTripDetailPodUploadedLabel","POD uploaded: {dateTime}",""
"truckerTripDetailPodUploadedSuccess","POD uploaded successfully. Supplier confirmation is now pending.",""
"truckerTripDetailRatingAlreadySubmitted","You already rated this trip.",""
"truckerTripDetailRatingSectionTitle","Rate this trip",""
"truckerTripDetailRatingStarTooltip","{count} star{s}",""
"truckerTripDetailRatingSubmittedOn","Submitted on {date}",""
"truckerTripDetailRatingSubmittedSuccess","Rating submitted successfully.",""
"truckerTripDetailRatingUnavailableTitle","Rating unavailable",""
"truckerTripDetailReplaceLrUploadAction","Replace LR Upload",""
"truckerTripDetailReportSourceLabel","Trucker trip - {originLabel} > {destinationLabel}",""
"truckerTripDetailReviewCountdownTitle","Delivery review countdown",""
"truckerTripDetailRouteLabel","Route: {route}",""
"truckerTripDetailRouteScheduleTitle","Route and schedule",""
"truckerTripDetailStartTripAction","Start Trip",""
"truckerTripDetailStartedLabel","Started: {dateTime}",""
"truckerTripDetailSubmitRatingAction","Submit Rating",""
"truckerTripDetailSupplierLabel","Supplier: {name}",""
"truckerTripDetailTakePhotoAction","Take photo",""
"truckerTripDetailTitle","Trip Detail",""
"truckerTripDetailTripSummaryTitle","Trip summary",""
"truckerTripDetailTruckNumberLabel","Truck number: {truckNumber}",""
"truckerTripDetailTruckSupplierTitle","Truck and supplier",""
"truckerTripDetailTyresLabel","Tyres: {tyres}",""
"truckerTripDetailUploadLrImageTitle","Upload LR image",""
"truckerTripDetailUploadLrOptionalAction","Upload LR (Optional)",""
"truckerTripDetailUploadPodPhotoAction","Upload POD Photo",""
"truckerTripDetailUploadPodPhotoTitle","Upload POD photo",""
"truckerTripsTimeContextAssigned","Assigned {date}",""
"truckerTripsTimeContextCompleted","Completed {date}",""
"truckerTripsTimeContextDelivered","Delivered {date}",""
"truckerTripsTimeContextPodUploaded","POD uploaded {date}",""
"truckerTripsTitle","My trips",""
"truckerTripsTruckLabel","Truck {truckNumber}",""
"trustSafetyBanTitle","Trust & safety ban active",""
"trustSafetyCurrentStatus","Current status: {displayLabel}. {fallback}",""
"trustSafetyCurrentStatusWithReason","Current status: {displayLabel}. Reason summary: {reasonSummary}. {fallback}",""
"trustSafetyLabel","Trust & safety",""
"trustSafetyOpenSupport","Open support",""
"trustSafetyRestrictionTitle","Trust & safety restriction active",""
"trustSafetySuspensionTitle","Trust & safety suspension active",""
"trustSafetyWarningTitle","Trust & safety warning active",""
"verificationActionNeedsAttentionTitle","Verification action needs attention",""
"verificationChatAndCallGatingBadge","Chat and call gating",""
"verificationChooseFromGalleryAction","Choose from gallery",""
"verificationCompleteBannerTitle","Verification complete",""
"verificationDetailsUnavailableTitle","Verification details unavailable",""
"verificationDocTypeBusinessLicence","Business licence",""
"verificationDocTypeGstCertificate","GST certificate",""
"verificationDocumentChecklistTitle","Document checklist",""
"verificationDocumentStatusOptional","optional",""
"verificationDocumentStatusPending","pending",""
"verificationDocumentStatusRejected","rejected",""
"verificationDocumentStatusRequired","required",""
"verificationDocumentStatusUploaded","uploaded",""
"verificationDocumentStatusVerified","verified",""
"verificationDocumentUploadedSuccess","{label} uploaded successfully",""
"verificationLatestRejectionReasonTitle","Latest rejection reason",""
"verificationLoadFailureTitle","Unable to load verification state",""
"verificationLocationCapturedStatus","captured",""
"verificationLocationCapturedSuccess","Verification location captured",""
"verificationLocationCapturedTitle","Location captured",""
"verificationLocationRequiredStatus","required",""
"verificationLocationRequiredTitle","Location still required",""
"verificationLocationTitle","Verification location",""
"verificationLockedStatusPendingTitle","Under review",""
"verificationLockedStatusSectionTitle","Verification status",""
"verificationLockedStatusVerifiedTitle","Verified",""
"verificationNeedsAttentionBannerTitle","Verification needs attention",""
"verificationNextStepTitle","Next step",""
"verificationNotSubmittedTitle","Verification not submitted yet",""
"verificationOpenFleetAction","Open fleet",""
"verificationPendingBannerTitle","Verification pending",""
"verificationRefreshLocationAction","Refresh location",""
"verificationReplaceDocumentAction","Replace document",""
"verificationResubmitForReviewAction","Resubmit for review",""
"verificationResubmittedSuccess","Verification resubmitted for review",""
"verificationReviewNoteLabel","Review note: {reason}",""
"verificationStatusPending","Pending",""
"verificationStatusRejected","Rejected",""
"verificationStatusUnknown","Unknown",""
"verificationStatusUnverified","Unverified",""
"verificationStatusVerified","Verified",""
"verificationStoredPathLabel","Stored path: {path}",""
"verificationSubmitForReviewAction","Submit for review",""
"verificationSubmittedSuccess","Verification submitted for review",""
"verificationTakePhotoAction","Take photo",""
"verificationTimelineNotifiedTimestamp","Next",""
"verificationTimelineNotifiedTitle","You will be notified",""
"verificationTimelinePacketSubmittedTimestamp","Completed",""
"verificationTimelinePacketSubmittedTitle","Packet submitted",""
"verificationTimelineReviewInProgressTimestamp","Now",""
"verificationTimelineReviewInProgressTitle","Review in progress",""
"verificationUploadDocumentAction","Upload document",""
"verificationUploadSourceTitle","Upload {documentLabel}",""
"verificationWhatHappensNextTitle","What happens next",""
