key,en,hi
"authPasswordResendVerificationSuccessMessage","We sent a fresh verification email to {email}. Open it, finish verification, and then sign in.","हमने {email} पर एक नया verification email भेजा है। उसे खोलें, verification पूरा करें, और फिर sign in करें।"
"authPasswordResetSentFailure","Unable to send reset link. Please try again.","रीसेट लिंक नहीं भेजा जा सका। कृपया फिर कोशिश करें।"
"authPasswordResetSentSuccess","Password reset link sent to {email}. Check your inbox.","{email} पर पासवर्ड रीसेट लिंक भेजा गया है। अपना inbox देखें।"
"authPasswordSignInAction","Sign in with password","Password से sign in करें"
"authPasswordSignInFailureMessage","We could not sign you in with email and password right now. Retry shortly or use another sign-in method.","अभी email और password से sign in नहीं हो सका। थोड़ी देर बाद फिर कोशिश करें या कोई दूसरा sign-in तरीका इस्तेमाल करें।"
"authPasswordSignUpFailureMessage","We could not create your account right now. Retry shortly with the same details.","अभी आपका account नहीं बन सका। यही details लेकर थोड़ी देर बाद फिर कोशिश करें।"
"authPasswordSubtitle","Sign in with your email and password, or create a new TranZfort account to continue.","अपने email और password से sign in करें, या आगे बढ़ने के लिए नया TranZfort account बनाएँ।"
"authPasswordSwitchToSignIn","Already have an account? Sign in","पहले से account है? साइन इन करें"
"authPasswordSwitchToSignUp","New to TranZfort? Create account","TranZfort पर नए हैं? खाता बनाएं"
"authPasswordTitle","Email and password","Email और password"
"authPasswordTooShortMessage","Enter a password with at least 8 characters.","कम से कम 8 characters वाला password दर्ज करें।"
"authPasswordUseDifferentEmailAction","Use a different email","कोई दूसरा email इस्तेमाल करें"
"authRecommendedChip","RECOMMENDED","सुझाया गया"
"authSessionRefreshFailureMessage","We could not refresh your session right now. Please continue and try again if needed.","हम आपका सत्र अभी रीफ्रेश नहीं कर सके। जरूरत हो तो आगे बढ़ें और बाद में फिर प्रयास करें।"
"authTtsSplashWelcome","Welcome to TranZfort. I will help you finish a quick setup before you continue.","TranZfort में आपका स्वागत है। आगे बढ़ने से पहले मैं आपकी छोटी सी सेटअप में मदद करूंगा।"
"authWelcomeSubtitle","Choose Google or email sign-in to continue into your supplier or trucker workspace.","अपने सप्लायर या ट्रकर कार्यक्षेत्र में जाने के लिए Google या email sign-in चुनें।"
"authWelcomeTitle","Welcome to TranZfort","TranZfort में आपका स्वागत है"
"chatActionApprove","Approve","स्वीकृत करें"
"chatActionReject","Reject","अस्वीकृत करें"
"chatApproveBookingDialogMessage","This will approve the trucker booking request from the chat context.","यह chat context से trucker booking request approve करेगा।"
"chatApproveBookingDialogTitle","Approve booking?","Booking approve करें?"
"chatApproveBookingFailureMessage","We could not approve this booking right now. Retry shortly from this chat.","अभी यह booking approve नहीं हो सकी। थोड़ी देर बाद इसी chat से फिर कोशिश करें।"
"chatAttachmentSavedSubtitle","Attachment saved to this conversation.","Attachment इस conversation में सेव है।"
"chatBackToInboxAction","Back to messages","संदेशों पर वापस जाएं"
"chatBookingActionFailureMessage","The latest booking action could not be completed from this chat. Review the booking state and retry shortly.","अभी इस chat से latest booking action पूरा नहीं हो सका। Booking state review करें और थोड़ी देर बाद फिर कोशिश करें।"
"chatBookingActionUnavailableTitle","Booking action unavailable","Booking action उपलब्ध नहीं है"
"chatBookingApprovedSuccess","Booking approved!","Booking approve हो गई!"
"chatBookingRejectedSuccess","Booking rejected.","Booking reject हो गई।"
"chatBookingStatusApproved","Approved","स्वीकृत"
"chatBookingStatusUnknown","Unknown","अज्ञात"
"chatCollapseLoadContextTooltip","Collapse load context","लोड संदर्भ संक्षिप्त करें"
"chatConversationUnavailableSubtitle","We could not find this conversation right now. Refresh or return to your inbox.","अभी यह conversation नहीं मिल सकी। Refresh करें या inbox पर लौटें।"
"chatConversationUnavailableTitle","Conversation unavailable","Conversation उपलब्ध नहीं है"
"chatDocumentSharedFallback","Shared document","दस्तावेज़ साझा किया गया"
"chatExpandLoadContextTooltip","Expand load context","लोड संदर्भ विस्तृत करें"
"chatLoadContextTitle","Load context","लोड संदर्भ"
"chatLocationSharedFallback","Shared location","स्थान साझा किया गया"
"chatMapPreviewUnavailable","Map preview unavailable","Map preview उपलब्ध नहीं है"
"chatMaterialLabel","Material: {value}","सामग्री: {value}"
"chatMenuMarkConversationRead","Mark conversation read","Conversation को read mark करें"
"chatMenuRefreshThread","Refresh thread","Thread refresh करें"
"chatMenuReportSpamOrAbuse","Report spam or abuse","Spam या abuse report करें"
"chatMessagesLoadFailureMessage","We could not load this conversation right now. Retry shortly to refresh the latest messages and booking context.","अभी यह बातचीत लोड नहीं हो सकी। नवीनतम संदेश और बुकिंग संदर्भ रीफ्रेश करने के लिए थोड़ी देर बाद फिर कोशिश करें।"
"chatMessagesLoadFailureTitle","Unable to load messages","संदेश लोड नहीं हो सके"
"chatNoMessagesSubtitle","Send a message to start this conversation.","यह बातचीत शुरू करने के लिए संदेश भेजें।"
"chatNoMessagesTitle","No messages yet","अभी कोई संदेश नहीं है"
"chatOpenDocumentAction","Open document","दस्तावेज़ खोलें"
"chatOpenInMapsAction","Open in Maps","Maps में खोलें"
"chatPauseVoiceMessageTooltip","Pause voice message","Voice message pause करें"
"chatPickupLabel","Pickup: {value}","पिकअप: {value}"
"chatPlayVoiceMessageTooltip","Play voice message","Voice message चलाएँ"
"chatPreviewDocument","Document shared","दस्तावेज़ साझा किया गया"
"chatPreviewLocation","Location shared","स्थान साझा किया गया"
"chatPreviewMapCard","Route card shared","मार्ग कार्ड साझा किया गया"
"chatPreviewSystem","System update","सिस्टम अद्यतन"
"chatPreviewTruckCard","Truck details shared","ट्रक विवरण साझा किए गए"
"chatPreviewVoice","Voice message","वॉइस संदेश"
"chatPriceLabel","Price: {value}","मूल्य: {value}"
"chatRejectBookingDialogMessage","This will reject the trucker booking request from the chat context.","यह chat context से trucker booking request reject करेगा।"
"chatRejectBookingDialogTitle","Reject booking?","Booking reject करें?"
"chatRejectBookingFailureMessage","We could not reject this booking right now. Retry shortly from this chat.","अभी यह booking reject नहीं हो सकी। थोड़ी देर बाद इसी chat से फिर कोशिश करें।"
"chatRouteSummaryFallback","Route summary","मार्ग सारांश"
"chatSendAction","Send","भेजें"
"chatSendingLabel","sending...","भेजा जा रहा है..."
"chatStopRecordingTooltip","Stop recording","रिकॉर्डिंग रोकें"
"chatSystemUpdateFallback","System update","सिस्टम अपडेट"
"chatTextSendFailureMessage","We could not send your message right now. Retry shortly from this chat.","अभी आपका message भेजा नहीं जा सका। थोड़ी देर बाद इसी chat से फिर कोशिश करें।"
"chatTitleFallback","Conversation","बातचीत"
"chatTooltipCall","Call","कॉल"
"chatTruckDetailsSharedFallback","Truck details","ट्रक विवरण"
"chatTruckTyresLabel","{value} tyres","{value} टायर"
"chatTypeMessageHint","Type a message...","संदेश टाइप करें..."
"chatViewRouteAction","View route","मार्ग देखें"
"chatVoiceMessageLabel","Voice message","आवाज़ संदेश"
"chatVoicePlaybackFailed","We could not play this voice message right now.","अभी यह voice message चल नहीं सकी।"
"chatVoicePlaybackUnavailable","Voice playback is unavailable right now.","अभी voice playback उपलब्ध नहीं है।"
"chatVoiceRecordingTooltip","Voice recording","आवाज रिकॉर्डिंग"
"chatVoiceSendFailureMessage","We could not send this voice message right now. Retry shortly from this chat.","अभी यह voice message भेजा नहीं जा सका। थोड़ी देर बाद इसी chat से फिर कोशिश करें।"
"chatVoiceStartFailureMessage","We could not start voice recording right now. Retry shortly from this chat.","अभी voice recording शुरू नहीं हो सकी। थोड़ी देर बाद इसी chat से फिर कोशिश करें।"
"chatVoiceUploadFailureMessage","We could not upload this voice message right now. Retry shortly from this chat.","अभी यह voice message upload नहीं हो सका। थोड़ी देर बाद इसी chat से फिर कोशिश करें।"
"commonAadhaarNumberLabel","Aadhaar number","आधार नंबर"
"commonActiveLabel","Active","सक्रिय"
"commonAnyLabel","Any","कोई भी"
"commonCallTooltip","Call","कॉल"
"commonCancelAction","Cancel","रद्द करें"
"commonChatTooltip","Chat","चैट"
"commonChooseFromGalleryAction","Choose from gallery","गैलरी से चुनें"
"commonCompletedLabel","Completed","पूर्ण"
"commonCreateAccountAction","Create account","खाता बनाएं"
"commonDashboardLabel","Dashboard","डैशबोर्ड"
"commonDisputeInProgressTitle","Dispute in progress","विवाद समीक्षा जारी है"
"commonGstNumberLabel","GST number","GST नंबर"
"commonHearSummary","Hear summary","सारांश सुनें"
"commonMuteVoice","Mute voice","आवाज़ बंद करें"
"commonNotificationsLabel","Notifications","सूचनाएँ"
"commonOpenInGoogleMapsAction","Open in Google Maps","गूगल मैप्स में खोलें"
"commonOpenVerificationAction","Open verification","सत्यापन खोलें"
"commonPanNumberLabel","PAN number","पैन नंबर"
"commonProfileLabel","Profile","प्रोफ़ाइल"
"commonRetry","Retry","फिर कोशिश करें"
"commonRouteAndScheduleTitle","Route and schedule","रूट और शेड्यूल"
"commonSuggestionSourceOffline","Offline database","ऑफ़लाइन डेटाबेस"
"commonSupportLabel","Support","सहायता"
"commonTakePhotoAction","Take photo","फ़ोटो लें"
"commonTurnVoiceOn","Turn voice on","आवाज़ चालू करें"
"commonVerificationNeedsAttentionTitle","Verification needs attention","वेरिफिकेशन पर ध्यान देने की आवश्यकता है"
"commonVoiceMuted","Voice guidance is muted on this device.","इस डिवाइस पर आवाज मार्गदर्शन म्यूट है।"
"commonVoiceUnavailable","Voice guidance is unavailable right now.","अभी आवाज मार्गदर्शन उपलब्ध नहीं है।"
"connectivityOfflineActionsMessage","You are offline. Actions that need network access should stay disabled.","आप ऑफ़लाइन हैं। नेटवर्क की ज़रूरत वाली कार्रवाइयाँ अभी काम नहीं करेंगी।"
"connectivityOfflineBanner","You are offline. Features may be limited.","आप ऑफ़लाइन हैं। कुछ सुविधाएँ सीमित हो सकती हैं।"
"deleteAccountAcceptedMessage","Your deletion request was accepted. You have been signed out while the account enters pending cleanup.","आपका deletion अनुरोध स्वीकार हो गया। खाता cleanup की प्रतीक्षा में आने पर आपको साइन आउट कर दिया गया है।"
"deleteAccountAcceptedSignOutFailureMessage","Deletion was accepted, but we could not complete sign out right now. Retry shortly to refresh your account session.","Deletion स्वीकार हो गया, लेकिन अभी साइन आउट पूरा नहीं हो सका। खाता सत्र रीफ्रेश करने के लिए थोड़ी देर बाद फिर कोशिश करें।"
"deleteAccountAlreadyRequestedMessage","This account is currently deactivated pending cleanup. Cancel the request below if you need to restore access during the grace-period lifecycle.","यह खाता वर्तमान में निष्क्रिय pending cleanup में है। Grace-period lifecycle के दौरान पहुँच बहाल करनी हो तो नीचे अनुरोध रद्द करें।"
"deleteAccountAlreadyRequestedTitle","Deletion already requested","Deletion पहले से अनुरोधित है"
"deleteAccountBlockedSummaryMessage","This deletion request cannot proceed yet because another account dependency still needs attention.","यह deletion अनुरोध अभी आगे नहीं बढ़ सकता क्योंकि एक और खाता निर्भरता पर अभी ध्यान देना बाकी है।"
"deleteAccountBlockedTitle","Deletion blocked","Deletion अवरुद्ध है"
"deleteAccountBlockerActionOpenSupport","Open support","सहायता खोलें"
"deleteAccountBlockerActionOpenTrips","Open trips","ट्रिप्स खोलें"
"deleteAccountBlockerBodyActiveTrips","This account still has active trip work attached to it. Review the current trip list, complete any legitimate active work, and then retry the deletion request.","इस खाते से अभी भी सक्रिय ट्रिप कार्य जुड़ा है। वर्तमान ट्रिप सूची देखें, कोई भी वैध सक्रिय कार्य पूरा करें, और फिर deletion अनुरोध दोबारा दें।"
"deleteAccountBlockerBodyCompliance","This account is still under a compliance or retention hold. Support can clarify the current hold, but the platform cannot bypass the retention requirement.","यह खाता अभी भी compliance या retention रोक के तहत है। सहायता वर्तमान रोक स्पष्ट कर सकती है, लेकिन प्लेटफ़ॉर्म retention आवश्यकता को बायपास नहीं कर सकता।"
"deleteAccountBlockerBodyDefault","Review the current blocker carefully and resolve it before retrying the deletion request.","वर्तमान अवरोधक की ध्यानपूर्वक समीक्षा करें और deletion अनुरोध दोबारा देने से पहले इसे हल करें।"
"deleteAccountBlockerBodyDispute","This account still has an unresolved dispute or review dependency. Use support to follow the current case until the blocking dispute is resolved.","इस खाते पर अभी भी एक अनसुलझा विवाद या समीक्षा निर्भरता है। अवरोधक विवाद हल होने तक वर्तमान केस follow करने के लिए सहायता का उपयोग करें।"
"deleteAccountBlockerRecoveryGuidanceActiveTrips","Finish or cancel every active trip first, then retry the deletion request.","पहले हर सक्रिय ट्रिप पूरी करें या रद्द करें, फिर deletion अनुरोध दोबारा दें।"
"deleteAccountBlockerRecoveryGuidanceCompliance","Some records still need to stay on the platform for compliance or retention policy. Use support if you need clarification on the hold.","कुछ रिकॉर्ड अभी compliance या retention नीति के लिए प्लेटफ़ॉर्म पर रहने चाहिए। रोक के बारे में स्पष्टीकरण के लिए सहायता का उपयोग करें।"
"deleteAccountBlockerRecoveryGuidanceDefault","Resolve the blocking dependency first, then request deletion again.","पहले अवरोधक निर्भरता हल करें, फिर दोबारा deletion अनुरोध दें।"
"deleteAccountBlockerRecoveryGuidanceDispute","Wait until the unresolved dispute is reviewed or resolved before requesting deletion again.","दोबारा deletion अनुरोध देने से पहले अनसुलझे विवाद की समीक्षा या समाधान होने तक प्रतीक्षा करें।"
"deleteAccountBlockerTitleActiveTrips","Finish active trips first","पहले सक्रिय ट्रिप्स पूरी करें"
"deleteAccountBlockerTitleCompliance","Wait for the compliance hold to clear","Compliance रोक हटने की प्रतीक्षा करें"
"deleteAccountBlockerTitleDefault","Resolve the blocker first","पहले अवरोधक हल करें"
"deleteAccountBlockerTitleDispute","Resolve the open dispute first","पहले खुला विवाद हल करें"
"deleteAccountCancelFailureMessage","We could not cancel this deletion request right now. Retry shortly from the deletion lifecycle screen.","अभी यह deletion अनुरोध रद्द नहीं हो सका। Deletion lifecycle स्क्रीन से थोड़ी देर बाद फिर कोशिश करें।"
"deleteAccountCancelRequestButton","Cancel deletion request","Deletion अनुरोध रद्द करें"
"deleteAccountCancelRequestTitle","Cancel deletion request","Deletion अनुरोध रद्द करें"
"deleteAccountCancelledMessage","Your deletion request was cancelled. Account access can be restored while the lifecycle returns to active.","आपका deletion अनुरोध रद्द कर दिया गया। Lifecycle सक्रिय होने तक खाता पहुँच बहाल की जा सकती है।"
"deleteAccountCancelledTitle","Deletion request cancelled","Deletion अनुरोध रद्द हो गया"
"deleteAccountCancellingButton","Cancelling deletion...","Deletion रद्द हो रहा है..."
"deleteAccountConfirmRequestTitle","Confirm deletion request","Deletion अनुरोध की पुष्टि करें"
"deleteAccountGracePeriodEndsLabel","Grace period ends","Grace period समाप्ति"
"deleteAccountGracePeriodLessThanOneDayLabel","Less than 1 day remains before the grace period ends.","Grace period समाप्त होने में 1 दिन से कम बाकी है।"
"deleteAccountGracePeriodPassedLabel","Grace-period end date has passed. Permanent deletion processing may happen at any time.","Grace-period की अंतिम तारीख बीत चुकी है। स्थायी deletion प्रक्रिया किसी भी समय हो सकती है।"
"deleteAccountGracePeriodRemainingDaysLabel","{count, plural, one {{count} day remains before the grace period ends.} other {{count} days remain before the grace period ends.}}","{count, plural, one {Grace period समाप्त होने में {count} दिन बाकी है।} other {Grace period समाप्त होने में {count} दिन बाकी हैं।}}"
"deleteAccountHeroBodyDefault","Before deletion can proceed, the platform checks for active trips, unresolved disputes, and compliance or verification records that still require retention.","Deletion आगे बढ़ने से पहले, प्लेटफ़ॉर्म सक्रिय ट्रिप्स, अनसुलझे विवाद, और compliance या सत्यापन रिकॉर्ड जिन्हें अभी रखना ज़रूरी है, की जाँच करता है।"
"deleteAccountHeroBodyPendingCleanup","The deletion request has already been accepted and the account is in pending-cleanup state. Cancel the request if you want to restore normal account access before permanent deletion is processed.","Deletion अनुरोध पहले ही स्वीकार हो चुका है और खाता pending-cleanup स्थिति में है। स्थायी deletion प्रक्रिया से पहले सामान्य खाता पहुँच बहाल करनी हो तो अनुरोध रद्द करें।"
"deleteAccountHeroSubtitleDefault","This action can deactivate your account immediately if no active blockers exist. Review the consequences carefully before continuing.","अगर कोई सक्रिय अवरोधक नहीं है तो यह कार्रवाई आपका खाता तुरंत निष्क्रिय कर सकती है। आगे बढ़ने से पहले परिणामों की ध्यानपूर्वक समीक्षा करें।"
"deleteAccountHeroSubtitlePendingCleanup","Your account is currently deactivated pending cleanup. You can still cancel this request during the grace-period lifecycle while the account is not permanently deleted.","आपका खाता वर्तमान में निष्क्रिय pending cleanup में है। जब तक खाता स्थायी रूप से हटाया नहीं जाता, grace-period lifecycle के दौरान आप यह अनुरोध रद्द कर सकते हैं।"
"deleteAccountHeroTitleDefault","Request account deletion","खाता deletion का अनुरोध करें"
"deleteAccountHeroTitlePendingCleanup","Account deletion pending cleanup","खाता deletion cleanup की प्रतीक्षा में"
"deleteAccountLifecycleFailureMessage","The account deletion lifecycle is temporarily unavailable. Retry shortly to refresh the latest deletion status.","खाता deletion lifecycle अभी अस्थायी रूप से उपलब्ध नहीं है। नवीनतम deletion स्थिति रीफ्रेश करने के लिए थोड़ी देर बाद फिर कोशिश करें।"
"deleteAccountLifecycleUnavailableTitle","Account deletion lifecycle unavailable","खाता deletion lifecycle उपलब्ध नहीं है"
"deleteAccountRequestFailureMessage","We could not process this deletion request right now. Review the current account status and retry shortly.","अभी यह deletion अनुरोध प्रक्रिया नहीं हो सका। वर्तमान खाता स्थिति देखें और थोड़ी देर बाद फिर कोशिश करें।"
"deleteAccountRequestedOnLabel","Deletion requested on","Deletion अनुरोध किया गया"
"deleteAccountRequestingButton","Requesting deletion...","Deletion अनुरोध हो रहा है..."
"deleteAccountScreenTitle","Delete Account","खाता हटाएँ"
"deleteAccountSupportBodyDefault","Use support if you expect blockers like active trips, unresolved disputes, or compliance holds and need clarification before retrying the deletion request.","अगर आपको सक्रिय ट्रिप्स, अनसुलझे विवाद, या compliance रोक जैसे अवरोधक होने की उम्मीद है और deletion अनुरोध दोबारा देने से पहले स्पष्टीकरण चाहिए तो सहायता का उपयोग करें।"
"deleteAccountSupportBodyPendingCleanup","Use support if you need clarification on the pending-cleanup status, the grace-period timeline, or whether cancellation is the right next step for this account.","अगर pending-cleanup स्थिति, grace-period समयरेखा, या इस खाते के लिए रद्दीकरण सही अगला कदम है, इसके बारे में स्पष्टीकरण चाहिए तो सहायता का उपयोग करें।"
"deleteAccountSupportDetailDefault","Support can explain the current blocker or retention requirement, but they cannot bypass required cleanup, dispute review, or compliance policy.","सहायता वर्तमान अवरोधक या retention आवश्यकता समझा सकती है, लेकिन वे आवश्यक cleanup, विवाद समीक्षा, या compliance नीति को बायपास नहीं कर सकती।"
"deleteAccountSupportDetailPendingCleanup","Support can clarify the current lifecycle state, but they may still need to follow retention and compliance policy before permanent deletion is processed.","सहायता वर्तमान lifecycle स्थिति स्पष्ट कर सकती है, लेकिन स्थायी deletion प्रक्रिया से पहले उन्हें retention और compliance नीति का पालन करना पड़ सकता है।"
"deleteAccountSupportTitle","Need help first?","पहले मदद चाहिए?"
"deleteAccountUnavailableTitle","Account deletion unavailable","खाता deletion उपलब्ध नहीं है"
"deleteAccountWhatHappensNextBodyDefault","If no blockers exist, your account is moved to deactivated pending cleanup and you are signed out safely.","अगर कोई अवरोधक नहीं है, तो आपका खाता निष्क्रिय pending cleanup में चला जाता है और आपको सुरक्षित रूप से साइन आउट कर दिया जाता है।"
"deleteAccountWhatHappensNextBodyPendingCleanup","Your account is already in the pending-cleanup state. Cancel the request if you want to restore the account to active before permanent deletion is processed.","आपका खाता पहले से pending-cleanup स्थिति में है। अगर स्थायी deletion प्रक्रिया से पहले खाता सक्रिय बहाल करना चाहते हैं तो अनुरोध रद्द करें।"
"deleteAccountWhatHappensNextDetailDefault","If blockers exist, the platform keeps your account active and tells you which dependency must be resolved first.","अगर अवरोधक हैं, तो प्लेटफ़ॉर्म आपका खाता सक्रिय रखता है और बताता है कि कौन-सी निर्भरता पहले हल करनी होगी।"
"deleteAccountWhatHappensNextDetailPendingCleanup","If you cancel now, the account deletion status returns to active and normal access is restored.","अगर अभी रद्द करते हैं, तो खाता deletion स्थिति सक्रिय हो जाती है और सामान्य पहुँच बहाल हो जाती है।"
"deleteAccountWhatHappensNextFootnoteDefault","The deletion request can now be cancelled while the account is in the pending-cleanup lifecycle before permanent deletion is processed.","स्थायी deletion प्रक्रिया से पहले जब तक खाता pending-cleanup lifecycle में है, deletion अनुरोध रद्द किया जा सकता है।"
"deleteAccountWhatHappensNextFootnotePendingCleanup","Support may still retain internal records according to policy, but the user-facing deletion request will be cancelled.","सहायता नीति के अनुसार आंतरिक रिकॉर्ड रख सकती है, लेकिन उपयोगकर्ता का deletion अनुरोध रद्द कर दिया जाएगा।"
"deleteAccountWhatHappensNextTitle","What happens next","आगे क्या होगा"
"loadHistoryFailedToLoad","Failed to load history","इतिहास लोड करने में विफल"
"loadHistoryLoadMore","Load More","और लोड करें"
"loadHistoryNoLoads","No loads to display","प्रदर्शित करने के लिए कोई लोड नहीं"
"loadHistoryRetry","Retry","पुनः प्रयास करें"
"loadHistoryStatusValue","{status, select, active {Active} completed {Completed} assigned_partial {Partial} assigned_full {Assigned} other {{status}}}","{status, select, active {सक्रिय} completed {पूर्ण} assigned_partial {आंशिक} assigned_full {सौंपा गया} other {{status}}}"
"navDeleteAccount","Delete account","खाता हटाएँ"
"notificationFallbackValue","{type, select, verification_update {Verification update} booking_update {Booking update} trip_update {Trip update} proof_update {Proof update} super_load_update {Super Load update} message_received {New message} support_update {Support update} dispute_update {Dispute update} account_update {Account update} system_notice {System notice} load_expiry_warning {Load expiry warning} other {Notification}}","{type, select, verification_update {सत्यापन अपडेट} booking_update {बुकिंग अपडेट} trip_update {ट्रिप अपडेट} proof_update {प्रमाण अपडेट} super_load_update {Super Load अपडेट} message_received {नया संदेश} support_update {सहायता अपडेट} dispute_update {विवाद अपडेट} account_update {खाता अपडेट} system_notice {सिस्टम सूचना} load_expiry_warning {लोड समाप्ति चेतावनी} other {सूचना}}"
"notificationsBodyFallback","Open the linked workflow for full context.","पूरे संदर्भ के लिए लिंक्ड वर्कफ़्लो खोलें।"
"notificationsEmptySubtitle","No new notifications.","कोई नई सूचनाएँ नहीं हैं।"
"notificationsEmptyTitle","All caught up!","आप पूरी तरह up to date हैं!"
"notificationsGroupToday","Today","आज"
"notificationsGroupYesterday","Yesterday","कल"
"notificationsHighPriorityCountLabel","{count} high priority","{count} उच्च प्राथमिकता"
"notificationsLoadFailureMessage","We could not load your notifications right now. Retry shortly to refresh the latest alerts and updates.","अभी आपकी सूचनाएँ लोड नहीं हो सकीं। नए अलर्ट और अपडेट्स रीफ्रेश करने के लिए थोड़ी देर बाद फिर कोशिश करें।"
"notificationsLoadFailureTitle","Unable to load notifications","सूचनाएँ लोड नहीं हो सकीं"
"notificationsLoadMore","Load More","और लोड करें"
"notificationsMarkAllRead","Mark All Read","सभी पढ़ें"
"notificationsMarkAllReadFailureMessage","We could not mark all notifications as read right now. Retry shortly from the notifications screen.","अभी सभी सूचनाओं को पढ़ा मार्क नहीं किया जा सका। थोड़ी देर बाद सूचना स्क्रीन से फिर कोशिश करें।"
"notificationsMarkedAllReadSuccess","All notifications marked as read","सभी सूचनाओं को पढ़ा मार्क कर दिया गया"
"notificationsOverviewTitle","Overview","अवलोकन"
"notificationsPriorityHighLabel","HIGH","उच्च"
"notificationsTtsSummary","Notifications screen. You have {unreadCount} unread notifications and {highPriorityUnreadCount} high priority alerts pending review.","सूचना स्क्रीन। आपके पास {unreadCount} अनरीड सूचनाएँ हैं और {highPriorityUnreadCount} उच्च प्राथमिकता अलर्ट समीक्षा के लिए लंबित हैं।"
"notificationsUnreadCountLabel","{count} unread","{count} अनरीड"
"onboardingChooseRoleTitle","Choose role","Role चुनें"
"onboardingCompleteProfileHeading","Finish your basic profile","अपनी basic profile पूरी करें"
"onboardingCompleteProfileSubtitle","Add the core contact details that will follow you through verification and daily operations.","वह मुख्य संपर्क विवरण जोड़ें जो सत्यापन और दैनिक संचालन में काम आएँगी।"
"onboardingCompleteProfileTitle","Complete profile","Profile पूरी करें"
"onboardingContinue","Continue","आगे बढ़ें"
"onboardingFullNameHint","Enter your full name","अपना पूरा नाम दर्ज करें"
"onboardingFullNameLabel","Full name","पूरा नाम"
"onboardingGateBackToSignInAction","Back to sign in","साइन इन पर वापस जाएँ"
"onboardingGateRetryAction","Retry","पुनः प्रयास करें"
